"file","id","group","description","defect","status","message","n_warnings","warnings","elapsed"
"10-validate","V-01",NA,"known valid orgnr accepted",NA,"PASS",NA,0,NA,0.000736236572265625
"10-validate","V-02",NA,"bad check digit rejected",NA,"PASS",NA,0,NA,0.0181229114532471
"10-validate","V-03",NA,"short input rejected",NA,"PASS",NA,0,NA,0.000597000122070312
"10-validate","V-04",NA,"long input rejected",NA,"PASS",NA,0,NA,0.000703334808349609
"10-validate","V-05",NA,"non-digit rejected",NA,"PASS",NA,0,NA,0.000895500183105469
"10-validate","V-06",NA,"empty string rejected",NA,"PASS",NA,0,NA,0.0048518180847168
"10-validate","V-07",NA,"NA rejected without error",NA,"PASS",NA,0,NA,0.000728845596313477
"10-validate","V-08",NA,"NA_character_ rejected",NA,"PASS",NA,0,NA,0.00586152076721191
"10-validate","V-09",NA,"vectorised over mixed input",NA,"PASS",NA,0,NA,0.000691890716552734
"10-validate","V-10",NA,"numeric input coerced",NA,"PASS",NA,0,NA,0.000632762908935547
"10-validate","V-11",NA,"zero-length input returns zero-length logical",NA,"PASS",NA,0,NA,0.000543117523193359
"10-validate","V-12",NA,"result is unnamed",NA,"PASS",NA,0,NA,0.00499534606933594
"10-validate","V-13",NA,"check digit 10 case rejected for every possible last digit",NA,"PASS",NA,0,NA,0.000839710235595703
"10-validate","V-14",NA,"leading whitespace rejected",NA,"PASS",NA,0,NA,0.000695705413818359
"10-validate","V-15",NA,"prefix rule does not reject mod-11-valid non-8/9 numbers","D-02","FAIL"," logi FALSE",0,NA,0.0809576511383057
"10-validate","V-16",NA,"agrees with independent mod-11 on 8/9 prefixed numbers",NA,"PASS",NA,0,NA,0.596934080123901
"10-validate","V-17",NA,"large vector does not error",NA,"PASS",NA,0,NA,1.13987803459167
"10-validate","V-18",NA,"factor input handled",NA,"PASS",NA,0,NA,0.000796794891357422
"10-validate","V-19",NA,"list input errors rather than silently coercing",NA,"PASS",NA,0,NA,0.000633001327514648
"10-validate","V-20",NA,"no side effects on the filesystem",NA,"PASS",NA,0,NA,0.000647068023681641
