"file","id","group","description","defect","status","message","n_warnings","warnings","elapsed"
"11-parse-internals","P-01",NA,"field_dict has the documented shape",NA,"PASS",NA,0,NA,0.00481081008911133
"11-parse-internals","P-02",NA,"field_dict api_path values are unique",NA,"PASS",NA,0,NA,0.0161178112030029
"11-parse-internals","P-03",NA,"field_dict col_name values are unique","D-90","FAIL"," logi FALSE",0,NA,0.00590753555297852
"11-parse-internals","P-03b",NA,"colliding api_paths do not silently discard one another's value","D-90","FAIL"," logi FALSE",0,NA,0.0135655403137207
"11-parse-internals","P-04",NA,"field_dict types are all coercible targets",NA,"PASS",NA,0,NA,0.0066375732421875
"11-parse-internals","P-05",NA,"no two api_paths collapse to the same snake_case name","D-29","PASS",NA,0,NA,0.00514817237854004
"11-parse-internals","P-06",NA,"to_snake handles camelCase",NA,"PASS",NA,0,NA,0.000507831573486328
"11-parse-internals","P-07",NA,"to_snake handles dot notation",NA,"PASS",NA,0,NA,0.0005950927734375
"11-parse-internals","P-08",NA,"to_snake handles digit boundaries",NA,"PASS",NA,0,NA,0.000689983367919922
"11-parse-internals","P-09",NA,"to_snake is idempotent",NA,"PASS",NA,0,NA,0.000638246536254883
"11-parse-internals","P-10",NA,"flatten_json produces dot-notation keys",NA,"PASS",NA,0,NA,0.0023190975189209
"11-parse-internals","P-11",NA,"flatten_json recurses past depth 2",NA,"PASS",NA,0,NA,0.00988888740539551
"11-parse-internals","P-12",NA,"unnamed arrays are joined with the same separator as the bulk path","D-28","PASS",NA,0,NA,0.00161099433898926
"11-parse-internals","P-13",NA,"rename_from_dict emits only observed columns, not the full dictionary",NA,"PASS",NA,0,NA,0.00172519683837891
"11-parse-internals","P-13b",NA,"every column rename_from_dict does emit is a real dictionary or passthrough name",NA,"PASS",NA,0,NA,0.00157546997070312
"11-parse-internals","P-14",NA,"rename_from_dict drops nothing (zero-drop policy)","D-29","PASS",NA,0,NA,0.0037529468536377
"11-parse-internals","P-15",NA,"HAL links never reach the output",NA,"PASS",NA,0,NA,0.00537753105163574
"11-parse-internals","P-16",NA,"coerce_types produces the declared classes for every emitted column",NA,"PASS",NA,0,NA,0.0127818584442139
