"file","id","group","description","defect","status","message","n_warnings","warnings","elapsed"
"15-konsern-signatur","K-01",NA,"konsern returns rows for a group member",NA,"PASS",NA,0,NA,0.000774621963500977
"15-konsern-signatur","K-02",NA,"documented columns are present",NA,"PASS",NA,0,NA,0.00938868522644043
"15-konsern-signatur","K-03",NA,"relation_date is a Date","D-17","PASS",NA,0,NA,0.000494003295898438
"15-konsern-signatur","K-04",NA,"relation_date is not entirely NA","D-17","PASS",NA,0,NA,0.000481605529785156
"15-konsern-signatur","K-05",NA,"exactly one root at level 0",NA,"PASS",NA,0,NA,0.000466346740722656
"15-konsern-signatur","K-06",NA,"root link form is the synthesised KKKK",NA,"PASS",NA,0,NA,0.000489711761474609
"15-konsern-signatur","K-07",NA,"all node org numbers are valid",NA,"PASS",NA,0,NA,0.00113654136657715
"15-konsern-signatur","K-08",NA,"non-root nodes carry a parent",NA,"PASS",NA,0,NA,0.00050806999206543
"15-konsern-signatur","K-09",NA,"every parent is itself a node in the tree",NA,"PASS",NA,0,NA,0.000467300415039062
"15-konsern-signatur","K-10",NA,"levels are contiguous from zero",NA,"PASS",NA,0,NA,0.000504255294799805
"15-konsern-signatur","K-11",NA,"node org numbers are unique",NA,"PASS",NA,0,NA,0.000452518463134766
"15-konsern-signatur","K-12",NA,"queried org appears in its own group tree",NA,"PASS",NA,0,NA,0.000472545623779297
"15-konsern-signatur","K-13",NA,"an entity outside any group returns a typed empty tibble","D-05","FAIL"," logi FALSE",0,NA,0.198631525039673
"15-konsern-signatur","K-14",NA,"an entity outside any group does not warn","D-16","FAIL",NA,1,"No konsernstruktur found for ""933365573"" (HTTP 404).",0.195124864578247
"15-konsern-signatur","K-15",NA,"konsern disagrees with in_corporate_group nowhere",NA,"PASS",NA,0,NA,0.354936361312866
"15-konsern-signatur","K-16",NA,"konsern is distinct from the ORGL children hierarchy",NA,"PASS",NA,0,NA,0.594800472259521
"15-konsern-signatur","K-17",NA,"repeated konsern calls are deterministic",NA,"PASS",NA,0,NA,0.862279176712036
"15-konsern-signatur","SG-01",NA,"signatur returns rows for an ASA",NA,"PASS",NA,0,NA,0.000555515289306641
"15-konsern-signatur","SG-02",NA,"documented columns are present",NA,"PASS",NA,0,NA,0.000516891479492188
"15-konsern-signatur","SG-03",NA,"signature_type is the literal signature",NA,"PASS",NA,0,NA,0.000443696975708008
"15-konsern-signatur","SG-04",NA,"birth_date parses to a Date and is not all NA","D-18","PASS",NA,0,NA,0.000543594360351562
"15-konsern-signatur","SG-05",NA,"birth dates are plausible",NA,"PASS",NA,0,NA,0.000871419906616211
"15-konsern-signatur","SG-06",NA,"rule_status is one of the documented codes",NA,"PASS",NA,0,NA,0.000457286834716797
"15-konsern-signatur","SG-07",NA,"role codes resolve against role_types",NA,"PASS",NA,0,NA,0.000577926635742188
"15-konsern-signatur","SG-08",NA,"combination_id is populated",NA,"PASS",NA,0,NA,0.000476360321044922
"15-konsern-signatur","SG-09",NA,"signatur birth_date joins to roles birth_date","D-18","PASS",NA,0,NA,0.171053647994995
"15-konsern-signatur","PK-01",NA,"prokura returns a data frame",NA,"PASS",NA,0,NA,0.000575065612792969
"15-konsern-signatur","PK-02",NA,"prokura schema equals signatur schema when non-empty",NA,"PASS",NA,0,NA,0.000754117965698242
"15-konsern-signatur","PK-03",NA,"signature_type is the literal procuration",NA,"PASS",NA,0,NA,0.000518560409545898
"15-konsern-signatur","PK-04",NA,"an entity without prokura returns a typed empty tibble","D-05","SKIP","precondition unavailable",0,NA,0.170036554336548
"15-konsern-signatur","PK-05",NA,"an entity without prokura does not warn","D-16","PASS",NA,0,NA,0.177008390426636
"15-konsern-signatur","PK-06",NA,"prokura and signatur are separate mandates",NA,"PASS",NA,0,NA,0.000502347946166992
"15-konsern-signatur","PK-07",NA,"mapping prokura over many orgs raises no warning storm","D-16","PASS",NA,0,NA,0.856868982315063
