"file","id","group","description","defect","status","message","n_warnings","warnings","elapsed"
"18-label-harmonize","L-01",NA,"labelling a data frame preserves shape",NA,"PASS",NA,0,NA,6.65965938568115
"18-label-harmonize","L-02",NA,"legal form is translated",NA,"PASS",NA,0,NA,0.0173072814941406
"18-label-harmonize","L-03",NA,"nace is translated",NA,"PASS",NA,0,NA,0.00130343437194824
"18-label-harmonize","L-04",NA,"org_nr is never touched",NA,"PASS",NA,0,NA,0.0017542839050293
"18-label-harmonize","L-05",NA,"name is never touched",NA,"PASS",NA,0,NA,0.00170063972473145
"18-label-harmonize","L-06",NA,"dates are never touched",NA,"PASS",NA,0,NA,0.00133323669433594
"18-label-harmonize","L-07",NA,"labelling is idempotent","D-95","FAIL"," logi FALSE",0,NA,0.0153274536132812
"18-label-harmonize","L-08",NA,"code = retains the original value",NA,"PASS",NA,0,NA,0.00298285484313965
"18-label-harmonize","L-09",NA,"code = places the code column adjacent to the label",NA,"PASS",NA,0,NA,0.00526571273803711
"18-label-harmonize","L-10",NA,"multiple code columns are supported",NA,"PASS",NA,0,NA,0.00155329704284668
"18-label-harmonize","L-11",NA,"code = on a non-labelable column is a no-op",NA,"PASS",NA,0,NA,0.00119638442993164
"18-label-harmonize","L-12",NA,"vector labelling of legal forms",NA,"PASS",NA,0,NA,0.000879764556884766
"18-label-harmonize","L-13",NA,"vector labelling of roles",NA,"PASS",NA,0,NA,0.000593423843383789
"18-label-harmonize","L-14",NA,"vector labelling of role groups",NA,"PASS",NA,0,NA,0.000642299652099609
"18-label-harmonize","L-15",NA,"vector labelling of nace",NA,"PASS",NA,0,NA,0.000766277313232422
"18-label-harmonize","L-16",NA,"vector labelling of sector",NA,"PASS",NA,0,NA,0.000575065612792969
"18-label-harmonize","L-17",NA,"unknown codes pass through unchanged","D-95","FAIL"," logi FALSE",0,NA,0.00894021987915039
"18-label-harmonize","L-18",NA,"vector without dic aborts",NA,"PASS","When `x` is a vector, `dic` must be provided.",0,NA,0.0916836261749268
"18-label-harmonize","L-19",NA,"unknown dic aborts",NA,"PASS","Unknown dictionary: ""nope"". Options: legal_form, nace, sector, role,
role_group.",0,NA,0.0379469394683838
"18-label-harmonize","L-20",NA,"empty data frame returns unchanged",NA,"PASS",NA,0,NA,0.00522422790527344
"18-label-harmonize","L-21",NA,"lang = no yields Norwegian labels","D-96","FAIL"," logi FALSE",0,NA,1.05174231529236
"18-label-harmonize","L-22",NA,"get_brreg_dic returns the documented columns",NA,"PASS",NA,0,NA,0.0027003288269043
"18-label-harmonize","L-23",NA,"nace dictionary is non-trivial",NA,"PASS",NA,0,NA,0.000612258911132812
"18-label-harmonize","L-24",NA,"sector dictionary is non-trivial",NA,"PASS",NA,0,NA,0.000530481338500977
"18-label-harmonize","L-25",NA,"dictionary codes are unique",NA,"PASS",NA,0,NA,0.000620126724243164
"18-label-harmonize","L-26",NA,"second dictionary call is served from cache",NA,"PASS",NA,0,NA,0.331813812255859
"18-label-harmonize","L-27",NA,"lang variants are cached separately",NA,"PASS",NA,0,NA,0.00492739677429199
"18-label-harmonize","L-28",NA,"the KLASS fallback objects exist in the namespace",NA,"PASS",NA,0,NA,0.00172924995422363
"18-label-harmonize","L-29",NA,"labelling many rows is stable",NA,"PASS",NA,0,NA,2.70177912712097
"18-label-harmonize","H-01",NA,"kommune harmonisation returns the documented columns",NA,"PASS",NA,1,"Only one level was detected. Classification returned with output_style normal. ",0.736388444900513
"18-label-harmonize","H-02",NA,"a pre-2020 code is actually remapped","D-78","FAIL"," logi FALSE",0,NA,0.00585770606994629
"18-label-harmonize","H-03",NA,"harmonisation changes at least one reformed code","D-78","FAIL"," logi FALSE",0,NA,0.00581812858581543
"18-label-harmonize","H-04",NA,"target names are resolved for current codes",NA,"PASS",NA,0,NA,0.00540018081665039
"18-label-harmonize","H-05",NA,"harmonisation is idempotent",NA,"PASS",NA,0,NA,0.00618386268615723
"18-label-harmonize","H-06",NA,"a failed correspondence fetch does not poison the session cache","D-79","PASS",NA,1,"Could not fetch municipality correspondence from SSB KLASS: incorrect number of
dimensions",0.444058179855347
"18-label-harmonize","H-07",NA,"custom column name is honoured",NA,"PASS",NA,0,NA,0.0062558650970459
