"file","id","group","description","defect","status","message","n_warnings","warnings","elapsed"
"36-file-outputs","FO-01",NA,"the snapshot store exists after a snapshot run",NA,"PASS",NA,0,NA,0.000650405883789062
"36-file-outputs","FO-02",NA,"every partition directory is hive-encoded as snapshot_date=YYYY-MM-DD",NA,"PASS",NA,0,NA,0.00948238372802734
"36-file-outputs","FO-03",NA,"a partition contains exactly one data file",NA,"PASS",NA,0,NA,0.000749588012695312
"36-file-outputs","FO-04",NA,"no non-parquet file is written inside the dataset root","D-54","FAIL"," logi FALSE",0,NA,0.00353741645812988
"36-file-outputs","FO-05",NA,"arrow can open the store that brreg_snapshot() wrote","D-54","ERROR","Invalid: Could not open Parquet input source '/home/claude/tidybrreg-stresstest/tmp/snapshot-store/underenheter/snapshot_date=2026-08-04/raw/underenheter_bulk.csv.gz': Parquet magic bytes not found in footer. Either the file is corrupted or this is not a parquet file.",0,NA,0.0602302551269531
"36-file-outputs","FO-06",NA,"the raw payload is not duplicated alongside the parquet","D-54","FAIL"," logi FALSE",0,NA,0.00457167625427246
"36-file-outputs","FO-07",NA,"no temp or partial files are left behind after writing",NA,"PASS",NA,0,NA,0.000669240951538086
"36-file-outputs","FO-08",NA,"each parquet is readable and non-empty",NA,"PASS",NA,0,NA,4.89499735832214
"36-file-outputs","FO-09",NA,"parquet carries dictionary-mapped column names, not raw API names",NA,"PASS",NA,0,NA,0.949795007705688
"36-file-outputs","FO-10",NA,"manifest.json exists and declares a schema version",NA,"PASS",NA,0,NA,0.000766754150390625
"36-file-outputs","FO-11",NA,"manifest ids are unique","D-55","FAIL"," logi FALSE",0,NA,0.00115394592285156
"36-file-outputs","FO-12",NA,"every manifest parquet_path points at a file that exists","D-58","PASS",NA,0,NA,0.00199294090270996
"36-file-outputs","FO-13",NA,"manifest record_count matches the parquet it points at",NA,"PASS",NA,0,NA,1.10532784461975
"36-file-outputs","FO-14",NA,"the documented CDC bridge metadata is actually populated","D-102","FAIL"," logi FALSE",0,NA,0.00112295150756836
"36-file-outputs","FO-15",NA,"two snapshots with identical content hash are not stored under different dates","D-103","FAIL"," logi FALSE",0,NA,0.00095677375793457
"36-file-outputs","FO-16",NA,"manifest raw_path is absolute and resolvable, or absent",NA,"PASS",NA,0,NA,0.000746965408325195
"36-file-outputs","FO-17",NA,"sync writes a cursor file",NA,"SKIP","precondition unavailable",0,NA,0.000494241714477539
"36-file-outputs","FO-18",NA,"the cursor records a per-type id and a last_sync timestamp",NA,"SKIP","precondition unavailable",0,NA,0.000552654266357422
"36-file-outputs","FO-19",NA,"state parquet files are written for every synced type",NA,"SKIP","precondition unavailable",0,NA,0.000533580780029297
"36-file-outputs","FO-20",NA,"changelog is hive-partitioned by sync_date",NA,"SKIP","precondition unavailable",0,NA,0.000597953796386719
"36-file-outputs","FO-21",NA,"changelog partitions contain readable parquet with the 8-column schema",NA,"SKIP","precondition unavailable",0,NA,0.000625133514404297
"36-file-outputs","FO-22",NA,"the changelog is append-only within a sync_date partition",NA,"SKIP","precondition unavailable",0,NA,0.00054621696472168
"36-file-outputs","FO-23",NA,"no state file is left zero-length by a partial write",NA,"PASS",NA,0,NA,0.000558137893676758
"36-file-outputs","FO-24",NA,"every cached payload is a complete, readable gzip stream",NA,"PASS",NA,0,NA,14.5898146629333
"36-file-outputs","FO-25",NA,"a truncated cache payload does not reach the caller as valid data","D-104","PASS",NA,0,NA,0.780893087387085
