path	bytes	mtime_utc	sha256	uploaded
tmp/cache/R/tidybrreg/enheter_bulk.csv.etag	33	2026-08-05T06:43:15Z	d79ba54fab75e0b54b11a556a076e46b1f16dd418b60205d0e403d2e3be24e85	yes
tmp/cache/R/tidybrreg/enheter_bulk.csv.gz	154280254	2026-08-05T06:43:15Z	head1m:1a658da75ee6bb0c48eb1164c0a79a1add92c920fb2e48e8ccc3d86a37949274	no_too_large
tmp/cache/R/tidybrreg/enheter_bulk.json.etag	33	2026-08-05T07:09:47Z	ff33283c638ab159a87d8259f5a13945778bd45747d822ee2ffd858dadd33a48	yes
tmp/cache/R/tidybrreg/enheter_bulk.json.gz	209611159	2026-08-05T07:09:47Z	head1m:bdd7f987e5adc74a723686443be770b3e12cf726e7ccdf02c97999cde1b2b971	no_too_large
tmp/cache/R/tidybrreg/roller_bulk.json.etag	33	2026-08-05T07:12:11Z	2535d76de2d9579abe973a5e649e879d45f98024504c4c134ea7613452a8daf3	yes
tmp/cache/R/tidybrreg/roller_bulk.json.gz	129572899	2026-08-05T07:12:11Z	head1m:6c90960eb7a0fdde8543679c23e8a8965a5f8e1bbd0a334c69d84fdb79eaf8a7	no_too_large
tmp/cache/R/tidybrreg/underenheter_bulk.csv.etag	33	2026-08-05T09:18:14Z	541e2dfa3a7babb8804a3e7215ac333460bbd3d360ab19930f9c5f12dc852aa7	yes
tmp/cache/R/tidybrreg/underenheter_bulk.csv.gz	60724372	2026-08-05T09:18:13Z	head1m:058c88fc4a892fd09fb4b0501df50fcecd9f70e3f3d1e738d2c25bd0816dc8ff	no_too_large
tmp/shared-store/enheter/snapshot_date=2025-07-01/data.parquet	7672238	2026-08-05T07:12:21Z	5f79aed90da3b5ea6981784e2fd5794111d033acbd8e35e1f284f2b3b82c53d3	yes
tmp/shared-store/enheter/snapshot_date=2026-01-17/data.parquet	7669938	2026-08-05T07:12:21Z	99c26c1e45a4b560eac59c95ccdcad35df50c39cec6f4a5203d06f8a47dfeeba	yes
tmp/shared-store/enheter/snapshot_date=2026-07-06/data.parquet	7672367	2026-08-05T07:12:22Z	df6eb45aedac370bd04e345b89291be017f7971c2734bb54b62b0bfd812f706c	yes
tmp/shared-store/enheter/snapshot_date=2026-08-05/data.parquet	7675302	2026-08-05T07:12:22Z	60c3409d18791ebc64e500a41e87a2eb64f73f56690f45f61cdfd3a8375b834d	yes
tmp/shared-store/underenheter/snapshot_date=2025-07-01/data.parquet	1619657	2026-08-05T07:12:23Z	046e05cb31304ab36a01cf839107f754e6eb156463cc52f66f428f6ddac07daf	yes
tmp/shared-store/underenheter/snapshot_date=2026-08-05/data.parquet	1603575	2026-08-05T07:12:24Z	80eb86777a19d494f0b9363f5c8306985f5edd4e835faebd803c3a3c743dc8d2	yes
tmp/snapshot-store/import-src.csv.gz	60724372	2026-08-05T09:19:06Z	head1m:058c88fc4a892fd09fb4b0501df50fcecd9f70e3f3d1e738d2c25bd0816dc8ff	no_too_large
tmp/snapshot-store/manifest.json	2400	2026-08-05T09:19:06Z	3ee9e23f9cb6e7c51cb32f49af4d0b0ff9878d5514351c8a08b2cab2b2d203ef	yes
tmp/snapshot-store/underenheter/snapshot_date=2026-08-04/data.parquet	56602769	2026-08-05T09:19:06Z	head1m:3199e8abfd9a424bf0a855864d68950d139c44747d579bb5bf932fa11c99ad53	no_too_large
tmp/snapshot-store/underenheter/snapshot_date=2026-08-04/raw/underenheter_bulk.csv.gz	60724372	2026-08-05T09:18:14Z	head1m:058c88fc4a892fd09fb4b0501df50fcecd9f70e3f3d1e738d2c25bd0816dc8ff	no_too_large
tmp/snapshot-store/underenheter/snapshot_date=2026-08-05/data.parquet	56602769	2026-08-05T09:14:40Z	head1m:3199e8abfd9a424bf0a855864d68950d139c44747d579bb5bf932fa11c99ad53	no_too_large
tmp/snapshot-store/underenheter/snapshot_date=2026-08-05/raw/underenheter_bulk.csv.gz	60724372	2026-08-05T09:13:48Z	head1m:058c88fc4a892fd09fb4b0501df50fcecd9f70e3f3d1e738d2c25bd0816dc8ff	no_too_large
